rank,part_name,part_id,n_points,mean_plastic_strain,median_plastic_strain,p95_plastic_strain,max_plastic_strain,selected,selection_reason,cumulative_nodes
113,CH-B-PILLAR-MID-L_328,328,5103,0.0011945799924433231,0.0,0.005752887576818466,0.2889357805252075,False,,
114,MC-RIM-FT-R_203,203,6302,0.0011768516851589084,0.0,0.005027026403695345,0.11271684616804123,False,,
115,OB-DOOR-FT-SUPP-O-R_243,243,2755,0.0011587660992518067,0.0,0.006795476656407118,0.06408379971981049,False,,
116,OB-DOOR-FT-SUPP-I-R_241,241,2764,0.001149265095591545,7.935286703286693e-06,0.005655661225318909,0.08714993298053741,False,,
117,CH-CBN-SIDE-RR-L_360,360,2340,0.0011488001327961683,0.000128749234136194,0.004808804485946894,0.10659681260585785,False,,
118,CH-A-PILLAR-I-L_318,318,935,0.001135371159762144,2.6841007638722658e-05,0.006702418439090252,0.02287912555038929,False,,
119,OB-DOOR-FT-O-R_237,237,11092,0.0010762237943708897,0.0,0.004020680207759142,0.2980835437774658,False,,
120,OB-DOOR-FT-HINGE-B-R_231,231,52,0.00102709059137851,7.29729379145283e-08,0.0052727567963302135,0.029249103739857674,False,,
121,OB-DOOR-FT-O-L_236,236,11092,0.0010040414053946733,0.0,0.003895906265825033,0.21050791442394257,False,,
122,CH-B-PILLAR-I-R_327,327,2640,0.0009761488763615489,0.0,0.00489319721236825,0.045929476618766785,False,,
123,CH-A-PILLAR-REINF-B-I-L_324,324,1416,0.0009295846102759242,0.0,0.004277517087757587,0.06530648469924927,False,,
124,OB-DOOR-RR-I-R_267,267,17769,0.0009030603105202317,0.0,0.0033535356633365154,0.13154925405979156,False,,
125,OB-DOOR-FT-SUPP-O-L_242,242,2755,0.0008185337646864355,0.0,0.004692725837230682,0.0567825622856617,False,,
126,OB-DOOR-FT-BPLATE-FT-L_220,220,505,0.000759582850150764,1.244173472514376e-05,0.004227911587804556,0.033058371394872665,False,,
127,CH-CBN-SIDE-RR-R_361,361,2340,0.0007527193520218134,1.19415381050203e-05,0.003513738512992859,0.060457490384578705,False,,
128,CH-FENDER-SILL-ATT2-L_613,613,180,0.0007343754405155778,0.0,0.004237090237438679,0.012209918349981308,False,,
129,MC-BATTERY-SHELL_161,161,162,0.0007295915856957436,0.0,0.004318745341151953,0.034431058913469315,False,,
130,OB-DOOR-FT-SUPP-I-L_240,240,2764,0.000690168293658644,0.0,0.003567954758182168,0.0833902508020401,False,,
131,OB-DOOR-FT-BPLATE-RR-R_223,223,563,0.0006862173322588205,0.0,0.003795511554926634,0.029359057545661926,False,,
132,OB-DOOR-FT-BPLATE-FT-R_221,221,505,0.0006617198814637959,0.0,0.0029748810920864344,0.038446199148893356,False,,
133,MC-RIM-FT-L_202,202,6302,0.0006394650554284453,0.0,0.0017401345539838076,0.12050193548202515,False,,
134,OB-DOOR-RR-I-L_266,266,17769,0.0006069453665986657,0.0,0.002299889223650098,0.19878298044204712,False,,
135,CH-A-PILLAR-BRKT1-R_313,313,869,0.0005533327930606902,0.0,0.003910028375685215,0.025118602439761162,False,,
136,OB-DOOR-FT-HINGE-B-L_230,230,52,0.0005446742288768291,0.0,0.0029037073254585266,0.011561383493244648,False,,
137,CH-REAR-PLATE_415,415,8870,0.0004742745659314096,0.0,0.001883920980617404,0.10160288959741592,False,,
138,CH-CBN-DECK-SUPP2-R_351,351,947,0.00046654572361148894,0.0,0.0029362239874899387,0.023027144372463226,False,,
139,CH-A-PILLAR-BRKT4-L_316,316,195,0.00042729423148557544,0.0,0.0021371240727603436,0.024396352469921112,False,,
140,MC-ENG-MNT-L_179,179,627,0.00042570466757752,0.0,0.002160250674933195,0.02118581347167492,False,,
141,CH-RAILS-U-MID-CTR_405,405,3491,0.00037644425174221396,0.0,0.0013164464617148042,0.13093635439872742,False,,
142,CH-A-PILLAR-BRKT1-L_312,312,869,0.00036090536741539836,0.0,0.0018171821720898151,0.0300787054002285,False,,
143,CH-A-PILLAR-BRKT4-R_317,317,195,0.0003437173436395824,0.0,0.0001831859553931281,0.05877988412976265,False,,
144,CH-B-PILLAR-I-L_326,326,2640,0.0003318679810035974,0.0,0.0017860610969364643,0.03256030008196831,False,,
145,OB-DOOR-RR-SUPP-O-R_280,280,3720,0.0003156329912599176,0.0,0.0005232628900557756,0.10423962771892548,False,,
146,OB-DOOR-RR-HINGE-B-R_263,263,56,0.0002807173295877874,0.0,0.0014273824635893106,0.012527081184089184,False,,
147,CH-ROOF_416,416,23359,0.0002491218619979918,0.0,0.000729768886230886,0.07190033793449402,False,,
148,OB-DOOR-RR-REINF-I-R_275,275,4409,0.00023653314565308392,0.0,0.0012901942245662212,0.046706341207027435,False,,
149,CH-ROOBOW-FT_418,418,3273,0.00022560436627827585,0.0,0.00040560163324698806,0.09654925763607025,False,,
150,CH-ROOBOW-CTR_417,417,4868,0.00021475515677593648,0.0,0.0006947159999981523,0.02877020835876465,False,,
151,OB-DOOR-RR-SUPP-I-R_278,278,2498,0.00020506187865976244,0.0,0.00039451278280466795,0.0670277401804924,False,,
152,CH-A-PILLAR-BRKT3-R_315,315,371,0.00019745112513191998,0.0,0.00113066122867167,0.010623767040669918,False,,
153,OB-DOOR-RR-REINF-I-L_276,276,4409,0.0001954397012013942,0.0,0.0010389109374955297,0.03221525996923447,False,,
154,CH-C-PILLAR-BRKT-R_336,336,449,0.00019180688832420856,0.0,0.0011489191092550755,0.010675921104848385,False,,
155,CH-CBN-FLOORBRD-RR_354,354,34642,0.00017620102153159678,0.0,0.0002627173962537199,0.20039835572242737,False,,
156,OB-DOOR-RR-SUPP-I-L_277,277,2498,0.0001640684058656916,0.0,0.0004912989679723978,0.048964887857437134,False,,
157,OB-DOOR-RR-HINGE-T-L_264,264,56,0.0001639701222302392,0.0,0.0008770613349042833,0.0025997294578701258,False,,
158,MC-ECM-SHELL_173,173,90,0.000160791736561805,0.0,0.0008951877243816853,0.0034495496656745672,False,,
159,OB-DOOR-RR-SUPP-O-L_279,279,3720,0.00015214821905829012,0.0,0.0001409567630616948,0.06998031586408615,False,,
160,CH-C-PILLAR-B-WW-R_334,334,6757,0.000141018012072891,0.0,0.0007464224472641945,0.02390829473733902,False,,
161,OB-DOOR-FT-BRKT-T-L_228,228,207,0.00013793080870527774,0.0,0.0009049061336554587,0.004614833276718855,False,,
162,OB-DOOR-FT-BRKT-B-L_226,226,207,0.00012776126095559448,0.0,0.0006821808055974543,0.007256797980517149,False,,
163,CH-C-PILLAR-B-WW-L_333,333,7379,0.00011056793300667778,0.0,0.00043951626867055893,0.03510771319270134,False,,
164,CH-CBN-DECK-SUPP1-R_349,349,3336,9.888439672067761e-05,0.0,0.0005681220209226012,0.027656598016619682,False,,
165,OB-DOOR-RR-HINGE-B-L_262,262,56,9.866392792901024e-05,0.0,0.0006061439635232091,0.003961559385061264,False,,
166,CH-CBN-DECK-SPKR-SUPP_347,347,10427,9.245178080163896e-05,0.0,0.00026652580709196627,0.04416646435856819,False,,
167,CH-CBN-DECK-SUPP1-L_348,348,3336,8.580044232076034e-05,0.0,0.0004769957158714533,0.009884457103908062,False,,
168,CH-WHEELWELL-RR-FT-R_453,453,5829,7.59066897444427e-05,0.0,0.00021769653540104628,0.019313277676701546,False,,
169,OB-DOOR-RR-BRKT-B-R_259,259,207,7.4075571319554e-05,0.0,0.0003731608740054071,0.006121308542788029,False,,
170,CH-TRUNK-RAINGUTTER-L_440,440,987,6.784506695112213e-05,0.0,0.000379648816306144,0.00504479743540287,False,,
171,OB-DOOR-RR-LOCK-PLATE-L_271,271,95,6.607537216041237e-05,0.0,0.00035435755853541195,0.0030793307814747095,False,,
172,OB-DOOR-RR-HINGE-T-R_265,265,56,6.54469768051058e-05,0.0,0.00046589967678301036,0.0011350418208166957,False,,
173,OB-DOOR-RR-I-T-R_269,269,929,6.2096121837385e-05,0.0,0.00021798210218548775,0.007686654105782509,False,,
174,CH-DOOR-RR-HINGE-B-R_622,622,133,5.968930054223165e-05,0.0,0.0005144777824170887,0.001667188247665763,False,,
175,CH-DOOR-RR-HINGE-T-L_623,623,133,5.250183312455192e-05,0.0,0.00036337258643470705,0.0013473317958414555,False,,
176,MC-ENG-TRANS-SHELL_183,183,503,3.718119842233136e-05,0.0,0.00017143829609267414,0.003768934402614832,False,,
177,MC-ENG-OILPAN_307,307,34,3.376199310878292e-05,0.0,0.00011340046330587938,0.0015115942806005478,False,,
178,OB-DOOR-RR-BRKT-B-L_258,258,207,3.157045284751803e-05,0.0,2.9228729545138776e-05,0.0036225304938852787,False,,
179,OB-DOOR-FT-BEAM-L_224,224,2416,3.0779061489738524e-05,0.0,0.00010253723303321749,0.03450796753168106,False,,
180,CH-RAILS-U-RR-L_410,410,11172,3.0425482691498473e-05,0.0,0.0,0.06964922696352005,False,,
181,CH-WHEELWELL-RR-I-R_455,455,8210,2.91681062662974e-05,0.0,0.0,0.01584918424487114,False,,
182,CH-WHEELWELL-RR-I-L_454,454,8063,2.8047239538864233e-05,0.0,2.8044527425663546e-05,0.009106441400945187,False,,
183,CH-DOOR-RR-HINGE-T-R_624,624,133,2.784582829917781e-05,0.0,0.0002170241205021739,0.0007185004651546478,False,,
184,CH-TRUNK-TAILLIGHT-R_449,449,5678,2.3945875000208616e-05,0.0,0.0,0.006375541910529137,False,,
185,CH-C-PILLAR-I-R_338,338,2003,2.132923145836685e-05,0.0,7.242632273118943e-05,0.0030458220280706882,False,,
186,CH-SHOCKHOUSE-RR-R_425,425,3694,2.117445728799794e-05,0.0,0.0,0.011956129223108292,False,,
187,CH-WHEELWELL-RR-FT-L_452,452,5815,2.1091642338433303e-05,0.0,4.2640397879267766e-08,0.012384467758238316,False,,
188,OB-DOOR-RR-BEAM-B-R_255,255,1190,2.048702481260989e-05,0.0,0.0,0.01039888896048069,False,,
189,CH-SHOCKHOUSE-RR-L_424,424,3701,1.971332858374808e-05,0.0,0.0,0.010974433273077011,False,,
190,OB-DOOR-RR-BEAM-B-L_254,254,1190,1.9205594071536325e-05,0.0,0.0,0.00810946524143219,False,,
191,CH-C-PILLAR-I-L_337,337,2003,1.8999249732587487e-05,0.0,3.5142406318300345e-07,0.005398917011916637,False,,
192,CH-RAILS-U-RR-EXT-L_408,408,1589,1.6834328562254086e-05,0.0,0.0,0.005503098480403423,False,,
193,OB-DOOR-RR-O-R_273,273,19786,1.6456444427603856e-05,0.0,0.0,0.016515130177140236,False,,
194,OB-DOOR-RR-BPLATE-FT-B-R_245,245,461,1.6029298421926796e-05,0.0,0.0,0.003976035863161087,False,,
195,CH-RAILS-U-RR-R_414,414,11172,1.435802460036939e-05,0.0,0.0,0.029956255108118057,False,,
196,OB-DOOR-RR-BPLATE-SUPP-L_252,252,871,1.4201485100784339e-05,0.0,0.0,0.007506905123591423,False,,
197,OB-DOOR-FT-BRKT-B-R_227,227,207,1.400513338012388e-05,0.0,3.998847387265414e-05,0.0017196268308907747,False,,
198,OB-DOOR-RR-I-T-L_268,268,929,1.2663931556744501e-05,0.0,0.0,0.003624381497502327,False,,
199,OB-DOOR-RR-O-L_272,272,19786,1.2021758266200777e-05,0.0,0.0,0.02132277563214302,False,,
200,CH-C-PILLAR-BRKT-L_335,335,657,9.946808859240264e-06,0.0,4.115575848118169e-06,0.001190230599604547,False,,
201,OB-TRUNKLID-I_287,287,17797,9.72872931015445e-06,0.0,0.0,0.009206045418977737,False,,
202,OB-DOOR-FT-BRKT-T-R_229,229,207,7.158840162446722e-06,0.0,8.485126272717025e-06,0.0008216577698476613,False,,
203,OB-DOOR-RR-BPLATE-FT-B-L_244,244,461,5.664824584528105e-06,0.0,0.0,0.0016070741694420576,False,,
204,CH-CBN-DECK-B-R_344,344,1783,4.730003183794906e-06,0.0,0.0,0.0019365097396075726,False,,
205,CH-WHEELWELL-RR-RR-L_456,456,4747,4.40811891166959e-06,0.0,0.0,0.006362018175423145,False,,
206,CH-TRUNK-RAINGUTTER-R_441,441,987,4.141011231695302e-06,0.0,0.0,0.0009505160851404071,False,,
207,OB-DOOR-FT-BEAM-R_225,225,2416,4.008280939160613e-06,0.0,0.0,0.008557477034628391,False,,
208,OB-DOOR-RR-BPLATE-RR-B-L_248,248,686,3.9526421460323036e-06,0.0,0.0,0.0013597463257610798,False,,
